Time,Event
00:42.400,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
00:42.400,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:43.360,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
00:43.360,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
00:49.533,General Vezax's Mark of the Faceless  fades from Apraxial
01:11.794,Dellbelphine is afflicted by  Mark of the Faceless  from General Vezax
01:14.410,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
01:14.410,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:14.410,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
01:14.410,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:14.410,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
01:21.809,General Vezax's Mark of the Faceless  fades from Dellbelphine
01:32.880,Ratherbebelf is afflicted by  Mark of the Faceless  from General Vezax
01:35.508,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
01:35.508,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:35.508,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
01:35.508,"General Vezax Mark of the Faceless Apraxial 1921 (A: 2735) (U: 5000, M: 344, 6.88%)"
01:35.508,"General Vezax Mark of the Faceless Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:36.782,"General Vezax Mark of the Faceless Shambby 1932 (A: 2918) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Dellbelphine 1931 (A: 2919) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Droob 1871 (A: 2979) (U: 5000, M: 150, 3.00%)"
01:37.955,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:37.955,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:39.227,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:42.889,General Vezax's Mark of the Faceless  fades from Ratherbebelf
